serial number,Company,The location of the recycling service outlet,The name of the recycling service location,address,Short_Company_Name,City
37,"SAIC-GM-Wuling Motors Co., Ltd","Tangshan City, Hebei Province","Tangshan Baoling Automobile Sales and Service Co., Ltd","The west side of Tangfeng Road, Fengrun District, Tangshan City, Hebei Province, is the south side of the business hall","SAIC-GM-Wuling Motors Co.,",Tangshan
38,"SAIC-GM-Wuling Motors Co., Ltd","Tangshan City, Hebei Province","Tangshan Kaier Scrapped Car Recycling and Dismantling Co., Ltd","North side of Tanggang Road, Luannan County, Tangshan City, Hebei Province","SAIC-GM-Wuling Motors Co.,",Tangshan
39,"SAIC-GM-Wuling Motors Co., Ltd","Qinhuangdao City, Hebei Province","Qinhuangdao Gangyuan Waste Automobile Recycling and Dismantling Co., Ltd","Cuijiazhuang, Donggang Town, Haigang District, Qinhuangdao City","SAIC-GM-Wuling Motors Co.,",Qinhuangdao
40,"SAIC-GM-Wuling Motors Co., Ltd","Qinhuangdao City, Hebei Province","Qinhuangdao Xiangyu Automobile Sales and Service Co., Ltd","West of the intersection of Minzu Road North Road and Lanyue Street, Haigang District, Qinhuangdao City, Hebei Province","SAIC-GM-Wuling Motors Co.,",Qinhuangdao
41,"SAIC-GM-Wuling Motors Co., Ltd","Handan City, Hebei Province","Handan Guangfa Renewable Resources Co., Ltd","East third floor, No. 47, Zhuhe Road, Handan District, Handan City, Hebei Province","SAIC-GM-Wuling Motors Co.,",Handan
42,"SAIC-GM-Wuling Motors Co., Ltd","Handan City, Hebei Province","Handan Yijun Automobile Sales and Service Co., Ltd",The intersection of Handan East Ring Road and Handan Road is 500 meters west and north,"SAIC-GM-Wuling Motors Co.,",Handan
43,"SAIC-GM-Wuling Motors Co., Ltd","Xingtai City, Hebei Province","Xingtai Hexin Automobile Trading Co., Ltd","The intersection of Longgang Street and Xingmei Special Line in Qiaodong District, Xingtai City, Hebei Province, is 300 meters east of the road","SAIC-GM-Wuling Motors Co.,",Xingtai
44,"SAIC-GM-Wuling Motors Co., Ltd","Xingtai City, Hebei Province","Xingtai Huilong Renewable Resources Recycling Co., Ltd","North side of Xingqing Road, West Xingqing Road, Niucha Village, Changzhuang Town, Wei County, Xingtai City","SAIC-GM-Wuling Motors Co.,",Xingtai
45,"SAIC-GM-Wuling Motors Co., Ltd","Baoding City, Hebei Province","Baoding City Pingyuan Automobile Sales Co., Ltd",Baoding City Jianguo Road and West Third Ring Road intersection east 100 meters south,"SAIC-GM-Wuling Motors Co.,",Baoding
46,"SAIC-GM-Wuling Motors Co., Ltd","Zhangjiakou City, Hebei Province","Zhangjiakou Junxing Automobile Sales and Service Co., Ltd","No. 7, Baiyun Street, Qiaodong District, Zhangjiakou City, Hebei Province","SAIC-GM-Wuling Motors Co.,",Zhangjiakou
47,"SAIC-GM-Wuling Motors Co., Ltd","Chengde City, Hebei Province","Chengde Shunbang Renewable Resources Recycling Co., Ltd","No. 10, northwest of Luanhe Town Power Plant, Shuangluan District, Chengde City, Hebei Province","SAIC-GM-Wuling Motors Co.,",Chengde
48,"SAIC-GM-Wuling Motors Co., Ltd","Chengde City, Hebei Province","Chengde Junxiang Automobile Sales Co., Ltd","800 meters north of Sanchakou, Shuangluan District, Chengde City","SAIC-GM-Wuling Motors Co.,",Chengde
49,"SAIC-GM-Wuling Motors Co., Ltd","Cangzhou City, Hebei Province","Cangzhou Bohang Automobile Sales and Service Co., Ltd","No. 1, North Row 3, Rongguantun Village, Xiaozhaozhuang Township, Xinhua District, Cangzhou City, Hebei Province","SAIC-GM-Wuling Motors Co.,",Cangzhou
50,"SAIC-GM-Wuling Motors Co., Ltd","Langfang City, Hebei Province","Langfang Shibo Automobile Sales and Service Co., Ltd","No. 338, Aimin East Road, Guangyang District, Langfang City","SAIC-GM-Wuling Motors Co.,",Langfang
51,"SAIC-GM-Wuling Motors Co., Ltd","Langfang City, Hebei Province","Langfang Tiancheng Recycling Co., Ltd","No. 102, south of National Road 115, Xiamao Town, Dachang County","SAIC-GM-Wuling Motors Co.,",Langfang
52,"SAIC-GM-Wuling Motors Co., Ltd","Hengshui City, Hebei Province","Hengshui Youxin Junteng Automobile Sales and Service Co., Ltd","No. 468 Ning'an Road, Hengshui City (Hengzhixing luxury car repair east side)","SAIC-GM-Wuling Motors Co.,",Hengshui
53,"SAIC-GM-Wuling Motors Co., Ltd","Taiyuan City, Shanxi Province","Shanxi Jiaxin Automobile Trading Co., Ltd","No. 89, Taiyu Road, Taiyuan City","SAIC-GM-Wuling Motors Co.,",Taiyuan
54,"SAIC-GM-Wuling Motors Co., Ltd","Datong City, Shanxi Province","Datong Gray Scrapped Motor Vehicle Recycling and Dismantling Co., Ltd","Gudian Town, Xinrong District, Datong City, Shanxi Province","SAIC-GM-Wuling Motors Co.,",Datong
55,"SAIC-GM-Wuling Motors Co., Ltd","Yangquan City, Shanxi Province","Yangquan Xingshengyuan Automobile Trading Co., Ltd",1000 meters north of Yibai Road Vehicle Administration Office in Yangquan City (next to Sinotruk),"SAIC-GM-Wuling Motors Co.,",Yangquan
56,"SAIC-GM-Wuling Motors Co., Ltd","Changzhi City, Shanxi Province","Shanxi Jiaxin Automobile Trading Co., Ltd. Changzhi Branch",Changzhi City Jiefang West Street Railway Station East 300 meters south,"SAIC-GM-Wuling Motors Co.,",Changzhi
57,"SAIC-GM-Wuling Motors Co., Ltd","Jincheng, Shanxi Province","Jincheng Jiaxin Youxin Automobile Sales and Service Co., Ltd","No. 2558, Zhongyuan East Street, Jincheng Development Zone, Shanxi Province","SAIC-GM-Wuling Motors Co.,",Jincheng
58,"SAIC-GM-Wuling Motors Co., Ltd","Shuozhou City, Shanxi Province","Shuozhou Dengliafei Automobile Sales and Service Co., Ltd","Zhenhua East Street, Shuozhou Development Zone","SAIC-GM-Wuling Motors Co.,",Shuozhou
59,"SAIC-GM-Wuling Motors Co., Ltd","Jinzhong City, Shanxi Province","Jinzhong Youxin Jiaxin Automobile Trading Co., Ltd",Jinzhong Development Zone Mingli Section Development Zone Auto Trade Park,"SAIC-GM-Wuling Motors Co.,",Jinzhong
60,"SAIC-GM-Wuling Motors Co., Ltd","Jinzhong City, Shanxi Province","Jiexiu Weizhi Automobile Sales Co., Ltd","Dingyang East Road, Jiexiu City, Jinzhong City, Shanxi Province (diagonally opposite the Operation Management Office)","SAIC-GM-Wuling Motors Co.,",Jinzhong
61,"SAIC-GM-Wuling Motors Co., Ltd","Yuncheng, Shanxi Province","Yuncheng Rainbow Automobile Trading Co., Ltd",Yuncheng Jiefang North Road,"SAIC-GM-Wuling Motors Co.,",Yuncheng
62,"SAIC-GM-Wuling Motors Co., Ltd","Xinzhou City, Shanxi Province","Xinzhou Youxin Automobile Sales Co., Ltd","Xinzhou City, Xinfu District Shilipu gas station south of the north of Auto City","SAIC-GM-Wuling Motors Co.,",Xinzhou
63,"SAIC-GM-Wuling Motors Co., Ltd","Linfen City, Shanxi Province","Shanxi Jiaxin Automobile Trading Co., Ltd. Linfen Branch",Linfen Yaodu District Tunli Town Gaohe Bridge North 1000 meters west of Zelin Hospital,"SAIC-GM-Wuling Motors Co.,",Linfen
64,"SAIC-GM-Wuling Motors Co., Ltd","Hohhot City, Inner Mongolia Autonomous Region","Inner Mongolia Xinbojun Automobile Sales and Service Co., Ltd",Inner Mongolia Hohhot Huimin District Hailar West Road Railway Driver School West 400 meters west Baojun 4...,"SAIC-GM-Wuling Motors Co.,",Hohhot
65,"SAIC-GM-Wuling Motors Co., Ltd","Baotou City, Inner Mongolia Autonomous Region","Inner Mongolia Tiandeli Renewable Resources Development and Utilization Co., Ltd","Jiuyuan Industrial Park, Baotou City, Inner Mongolia Autonomous Region","SAIC-GM-Wuling Motors Co.,",Baotou
66,"SAIC-GM-Wuling Motors Co., Ltd","Baotou City, Inner Mongolia Autonomous Region","Baotou Junling Automobile Sales and Service Co., Ltd",Inner Mongolia Autonomous Region Baotou City Jiuyuan District 210 National Road East Hatun Gaole South 500 meters huge ...,"SAIC-GM-Wuling Motors Co.,",Baotou
67,"SAIC-GM-Wuling Motors Co., Ltd","Chifeng City, Inner Mongolia Autonomous Region","Chifeng Junjun Automobile Sales Co., Ltd","No. 148A, Chixi Road, Qiaobei Logistics Park, Hongshan District, Chifeng City, Inner Mongolia","SAIC-GM-Wuling Motors Co.,",Chifeng
68,"SAIC-GM-Wuling Motors Co., Ltd","Tongliao City, Inner Mongolia Autonomous Region","Tongliao Jiaxing Automobile Sales and Service Co., Ltd",South of Agura Avenue and east of Chuangye Avenue in Tongliao Economic and Technological Development Zone,"SAIC-GM-Wuling Motors Co.,",Tongliao
69,"SAIC-GM-Wuling Motors Co., Ltd","Ordos City, Inner Mongolia Autonomous Region","Ordos Jiada Automobile Sales and Service Co., Ltd","In Tongchuan Auto Trade Park, Dongsheng District, Ordos City, Inner Mongolia","SAIC-GM-Wuling Motors Co.,",Ordos
70,"SAIC-GM-Wuling Motors Co., Ltd","Hulunbuir City, Inner Mongolia Autonomous Region","Hulunbuir Hongda Automobile Sales Co., Ltd","Inner Mongolia Autonomous Region, Hulunbuir City, Hailar District, Yakeshi Road, China-Russia-Mongolia Automobile Park, Baojun Automobile","SAIC-GM-Wuling Motors Co.,",Hulunbuir
71,"SAIC-GM-Wuling Motors Co., Ltd","Bayannur City, Inner Mongolia Autonomous Region","Bayannur Jiaxing Baojun Automobile Sales and Service Co., Ltd","Bayannur City, Inner Mongolia Autonomous Region, Linhe District, Linwu Road and Shuofang Road intersection 500 north...","SAIC-GM-Wuling Motors Co.,",Bayannur
72,"SAIC-GM-Wuling Motors Co., Ltd","Ulanqab City, Inner Mongolia Autonomous Region","Ulanqab Baojun Automobile Sales and Service Co., Ltd",Inner Mongolia Ulanqab City Pingdiquan Town New District Vehicle Administration Office West intersection 700 meters south,"SAIC-GM-Wuling Motors Co.,",Ulanqab
73,"SAIC-GM-Wuling Motors Co., Ltd","Xing'an League, Inner Mongolia Autonomous Region","Inner Mongolia Quanfeng Automobile Sales Co., Ltd","No. 13, Tianjiao Road, Horqin Right Wing Qianqi Industrial Park, Xing'an League, Inner Mongolia","SAIC-GM-Wuling Motors Co.,",Hinggan
74,"SAIC-GM-Wuling Motors Co., Ltd","Xilin Gol League, Inner Mongolia Autonomous Region","Inner Mongolia Quanfeng Automobile Sales Co., Ltd. Xilin Golmeng Branch","No. 3, Erlian Road, Minhe Logistics Park, Xi Economic Development Zone","SAIC-GM-Wuling Motors Co.,",Xilingol
75,"SAIC-GM-Wuling Motors Co., Ltd","Shenyang, Liaoning Province","Shenyang Zhenghuan Technology Co., Ltd","No. 40, Jinling Road, Yuhong District, Shenyang City, Liaoning Province","SAIC-GM-Wuling Motors Co.,",Shenyang
76,"SAIC-GM-Wuling Motors Co., Ltd","Shenyang, Liaoning Province","Liaoning Shangling Automobile Sales and Service Co., Ltd","No. 25, Shengli North Street, Heping District, Shenyang City, Liaoning Province","SAIC-GM-Wuling Motors Co.,",Shenyang
77,"SAIC-GM-Wuling Motors Co., Ltd","Shenyang, Liaoning Province","Shenyang Huashenglian Automobile Service Co., Ltd","No. 51, Yinshan Road, Huanggu District, Shenyang City, Liaoning Province","SAIC-GM-Wuling Motors Co.,",Shenyang
78,"SAIC-GM-Wuling Motors Co., Ltd","Dalian City, Liaoning Province","Dalian Scrapped Vehicle Recycling and Dismantling Co., Ltd","Qianguan Village, Dalian Bay Town, Ganjingzi District, Dalian City, Liaoning Province","SAIC-GM-Wuling Motors Co.,",Dalian
79,"SAIC-GM-Wuling Motors Co., Ltd","Anshan City, Liaoning Province","Anshan Xinling Automobile Sales and Service Co., Ltd","No. 190, West Ring Road, Qianshan District, Anshan City, Liaoning Province (Wuling Baojun 4S store)","SAIC-GM-Wuling Motors Co.,",Anshan
80,"SAIC-GM-Wuling Motors Co., Ltd","Fushun City, Liaoning Province","Fushun Guanglian Dashuntong Automobile Sales and Service Co., Ltd","No. 17-5, East Section of Qingnian Road, Dongzhou District, Liaoning Province","SAIC-GM-Wuling Motors Co.,",Fushun
81,"SAIC-GM-Wuling Motors Co., Ltd","Benxi City, Liaoning Province","Liaoning Pengda Automobile Trading Co., Ltd. Benxi Branch","Building 1, Wolong Business and Trade Center, Mingshan District, Benxi City, Liaoning Province","SAIC-GM-Wuling Motors Co.,",Benxi
82,"SAIC-GM-Wuling Motors Co., Ltd","Dandong City, Liaoning Province","Dandong Hongguang Automobile Sales and Service Co., Ltd","No. 91-3, Huayuan Road, Zhenxing District, Dandong City","SAIC-GM-Wuling Motors Co.,",Dandong
83,"SAIC-GM-Wuling Motors Co., Ltd","Jinzhou City, Liaoning Province","Jinzhou Shin Kong Automobile Sales and Service Co., Ltd","In the Shengshi second-hand car yard of Daweizi Village, Xinmin Township, Taihe District, Jinzhou City","SAIC-GM-Wuling Motors Co.,",Jinzhou
84,"SAIC-GM-Wuling Motors Co., Ltd","Yingkou City, Liaoning Province","Yingkou Sunshine Automobile Sales and Service Co., Ltd","No. 65, Gongnong Road, Laobian District, Yingkou City","SAIC-GM-Wuling Motors Co.,",Yingkou
85,"SAIC-GM-Wuling Motors Co., Ltd","Fuxin City, Liaoning Province","Fuxin City Gold Return Scrap Car Dismantling Co., Ltd","No. 118, Shengrui Road, Xihe District Development Zone, Fuxin City, Liaoning Province","SAIC-GM-Wuling Motors Co.,",Fuxin
86,"SAIC-GM-Wuling Motors Co., Ltd","Liaoyang City, Liaoning Province","Liaoyang Hongguang Automobile Sales and Service Co., Ltd","800 meters west of Furniture City, Prosperous Road, Taizihe District, Liaoyang City (opposite Xiaoqijia gas station)","SAIC-GM-Wuling Motors Co.,",Liaoyang
87,"SAIC-GM-Wuling Motors Co., Ltd","Panjin City, Liaoning Province","Panjin Tenglong Automobile Sales and Service Co., Ltd","No. 64, Industrial Street, Xinglongtai District, Panjin City, Liaoning Province","SAIC-GM-Wuling Motors Co.,",Panjin
88,"SAIC-GM-Wuling Motors Co., Ltd","Tieling City, Liaoning Province","Tieling Xinyuantai Automobile Sales and Service Co., Ltd","No. 13, Changjiang East Road, Motor Vehicle Trading Market Park, Tieling Economic Development Zone, Liaoning Province","SAIC-GM-Wuling Motors Co.,",Tieling
89,"SAIC-GM-Wuling Motors Co., Ltd","Chaoyang City, Liaoning Province","Liaoning Longyun Environmental Protection Technology Co., Ltd","No. 117, Xingzhong Road, Longcheng Industrial Park, Chaoyang City","SAIC-GM-Wuling Motors Co.,",Chaoyang
90,"SAIC-GM-Wuling Motors Co., Ltd","Huludao City, Liaoning Province","Huludao Juntong Automobile Sales and Service Co., Ltd. Jianchang Branch","No. 1, Tianxing Apartment, Section 2, Chaoyang Road, Jianchang County, Huludao City, Liaoning Province. Number nine. Number <> <>-<>...","SAIC-GM-Wuling Motors Co.,",Huludao
91,"SAIC-GM-Wuling Motors Co., Ltd","Changchun City, Jilin Province","Changchun Scrapped Automobile Recycling Center Co., Ltd","No. 65, Hualien Road, Kuancheng District, Changchun City, Jilin Province","SAIC-GM-Wuling Motors Co.,",Changchun
92,"SAIC-GM-Wuling Motors Co., Ltd","Changchun City, Jilin Province","Changchun Yibei Scrapped Automobile Recycling and Dismantling Co., Ltd",Changchun City Green Park Chengxi Town Dayingzi Village No. 2 Society,"SAIC-GM-Wuling Motors Co.,",Changchun
93,"SAIC-GM-Wuling Motors Co., Ltd","Jilin City, Jilin Province","Jilin Yahui Scrapped Automobile Recycling and Dismantling Co., Ltd","Jilin City, Jilin Province, Longtan District, Huadan Street and G12 Hunwu Expressway Exit Intersection North 100...","SAIC-GM-Wuling Motors Co.,",Jilin
94,"SAIC-GM-Wuling Motors Co., Ltd","Jilin City, Jilin Province","Jilin Hanxiang Automobile Sales and Service Co., Ltd","3399S Shop, No. 4, Heping Road, Chuanying District, Jilin City","SAIC-GM-Wuling Motors Co.,",Jilin
95,"SAIC-GM-Wuling Motors Co., Ltd","Liaoyuan City, Jilin Province","Jilin Zhicheng Automobile Sales and Service Co., Ltd. Dongfeng Branch","Qingshan Village, Dongfeng Town","SAIC-GM-Wuling Motors Co.,",Liaoyuan
96,"SAIC-GM-Wuling Motors Co., Ltd","Tonghua City, Jilin Province","Tonghua Hongbin Automobile Sales and Service Co., Ltd","No. 866, Xinsheng North Road, Dongchang District, Tonghua City, Jilin Province","SAIC-GM-Wuling Motors Co.,",Tonghua
97,"SAIC-GM-Wuling Motors Co., Ltd","Baishan City, Jilin Province","Baishan Wanruntong Trade Co., Ltd","Jinying Village, Banshi Street, Hunjiang District, Baishan City","SAIC-GM-Wuling Motors Co.,",Baishan
98,"SAIC-GM-Wuling Motors Co., Ltd","Songyuan City, Jilin Province","Jilin Xinzhicheng Automobile Sales and Service Co., Ltd","No. 140, Qinghua Street, Economic and Technological Development Zone, Songyuan City","SAIC-GM-Wuling Motors Co.,",Songyuan
99,"SAIC-GM-Wuling Motors Co., Ltd","Baicheng, Jilin Province","Baicheng Wuhuan Automobile Sales and Maintenance Co., Ltd","No. 151, Xingfu South Street, Baicheng, Jilin Province (Wuling after-sales)","SAIC-GM-Wuling Motors Co.,",Baicheng
100,"SAIC-GM-Wuling Motors Co., Ltd","Yanbian Korean Autonomous Prefecture, Jilin Province","Yanbian Shunda Scrapped Automobile Franchise Co., Ltd","Sancheng Village, Chaoyangchuan Town, Yanji Cit","SAIC-GM-Wuling Motors Co.,",Yanbian Korean Autonomous Prefecture
101,"SAIC-GM-Wuling Motors Co., Ltd","Harbin, Heilongjiang Province","Heilongjiang Echelon Energy Technology Co., Ltd","Changzheng Village, Hongqi Manchu Township, Nangang District, Harbin","SAIC-GM-Wuling Motors Co.,",Harbin
102,"SAIC-GM-Wuling Motors Co., Ltd","Qiqihar City, Heilongjiang Province","Qiqihar Hongbaobao Jun Automobile Sales Co., Ltd","Baojun Automobile, Liantong Avenue Auto Trade City, Tiefeng District, Qiqihar City, Heilongjiang Province","SAIC-GM-Wuling Motors Co.,",Qiqihar
103,"SAIC-GM-Wuling Motors Co., Ltd","Jixi City, Heilongjiang Province","Jixi Junling Automobile Sales Co., Ltd","Korean Village, Yongfeng Township, Chengzihe District, Jixi City","SAIC-GM-Wuling Motors Co.,",Jixi
104,"SAIC-GM-Wuling Motors Co., Ltd","Hegang City, Heilongjiang Province","Hegang Felix Automobile Dealership Co., Ltd","Heilongjiang Province, Hegang City, Xing'an District, Heyi Road, 100 meters","SAIC-GM-Wuling Motors Co.,",Hegang
105,"SAIC-GM-Wuling Motors Co., Ltd","Shuangyashan City, Heilongjiang Province","Jiamusi Yafei Automobile (Pioneer) Co., Ltd. Jixian Branch","No. 100, East Outer Ring Rulou Avenue, Jixian County, Shuangyashan City, Heilongjiang Province","SAIC-GM-Wuling Motors Co.,",Shuangyashan
106,"SAIC-GM-Wuling Motors Co., Ltd","Jiamusi City, Heilongjiang Province","Jiamusi Hongbao Automobile Sales and Service Co., Ltd","No. 1087, Youyi Road, a suburb of Jiamusi City, Heilongjiang Province","SAIC-GM-Wuling Motors Co.,",Jiamusi
107,"SAIC-GM-Wuling Motors Co., Ltd","Qitaihe City, Heilongjiang Province","Qitaihe Xinyuan Automobile Trading Co., Ltd","Wuling Automobile Station, Daming Street, Taoshan District, Qitaihe City, Heilongjiang Province","SAIC-GM-Wuling Motors Co.,",Qitaihe
